feature_set,model,mean_rmse,mean_mae,mean_r2,rmse_24h,mae_24h,r2_24h,rmse_48h,mae_48h,r2_48h,rmse_72h,mae_72h,r2_72h
FS70,Ensemble (CatBoost + NN),6.501313351603128,5.073931529705497,0.4674756676741721,4.639282638484448,3.6193771715827134,0.7252018524887127,6.718323186878094,5.182655759484491,0.44986691806239876,8.146334229446841,6.4197616580492864,0.22735823247140508
FS110,Ensemble (CatBoost + NN),6.524209549977482,5.068890932059502,0.467411440820338,4.804084706992799,3.764875684415208,0.7053316780604456,6.788926878030711,5.27831873116978,0.4382433269355025,7.979617064908937,6.163478380593517,0.2586593174650659
FS70,XGBoost,6.534746261027622,5.046629854556307,0.46625108838349655,4.79067912220591,3.733687909511464,0.7069739012867153,6.984313940515373,5.276288632805331,0.40544301887371925,7.829245720361585,6.129913021352124,0.2863363449900552
FS110,XGBoost,6.556497525194857,5.027442601235791,0.46408362211831733,4.88771089700092,3.8110726258780816,0.6949836238678622,6.959632694277069,5.302256310265576,0.4096376982901675,7.82214898430658,5.968998867563714,0.2876295441969223
FS90,CatBoost,6.587253666137573,5.056069114054581,0.4591556270442931,4.983985128144127,3.8587404829861125,0.6828493450463573,6.762063441916786,5.118923715190503,0.44268021605705354,8.015712428351803,6.190543143987128,0.25193732002946845
FS130,Ensemble (CatBoost + NN),6.5941953792547325,5.173580081916263,0.45219991550440186,4.7042703271325985,3.676822052972656,0.7174491114076137,6.823506882506133,5.343365006115914,0.43250603693377676,8.254808928125469,6.500553186660221,0.20664459817181502
FS90,XGBoost,6.602691070821268,5.028828945482918,0.45469570436923296,4.832348132044982,3.715029981240015,0.701854289461159,7.00542611520084,5.27750001822926,0.401843134152596,7.97029896521798,6.093956836979477,0.2603896894939438
FS130,XGBoost,6.603533485131191,5.131708475785675,0.4550088456955154,4.857753400868391,3.769290751135164,0.6987111455972658,6.99461234154875,5.32963737295417,0.4036883725431496,7.958234712976431,6.296197303267691,0.26262701894613083
FS70,Neural Network,6.647646521556237,5.222052973876818,0.43951268268503485,4.622956455731614,3.5992879916323735,0.7271325435164574,6.804339149558551,5.287241881145494,0.43568982350257,8.515643959378547,6.779629048852588,0.15571568103607702
FS50,XGBoost,6.650580088578894,5.103539059947232,0.4512989336661793,5.118152246677805,3.961299643180308,0.6655443491844184,7.003298543273068,5.336179155502843,0.4022064035627535,7.830289475785807,6.013138381158545,0.286146048251366
FS50,CatBoost,6.674589562633533,5.156864046300533,0.44535002093588605,5.058028597296831,3.909306605192167,0.6733559903780792,6.9215848529295405,5.308516592738747,0.41607499549501925,8.044155237674229,6.252768940970686,0.24661907693455976
FS130,CatBoost,6.696658738658139,5.231043413613283,0.43644195320783324,4.877272420234528,3.7962444877460046,0.6962850537420082,6.8211685549944665,5.295891042476321,0.43289491596586227,8.391535240745425,6.600994710617523,0.1801458899156293
FS70,CatBoost,6.761782715658518,5.220451124549846,0.4286624383241106,5.0016106650147725,3.8733845786201817,0.6806022136182248,7.075347588721824,5.376998963825213,0.3898430837840875,8.208389893238959,6.410969831204141,0.21554201757001923
FS110,CatBoost,6.7693679927420805,5.21623629125909,0.42833140582720275,5.029966500662021,3.890510904668073,0.6769703978840507,7.172018633752645,5.524251720152548,0.3730559334664074,8.106118843811576,6.2339462489566495,0.23496788613115016
FS50,Ensemble (CatBoost + NN),6.771939432040829,5.283223400241077,0.42633289184938034,4.961414440557478,3.855675948384889,0.6857153646900765,7.154812320326795,5.506045978164025,0.37606051465783374,8.199591535238214,6.487948274174318,0.21722279620023055
FS90,Ensemble (CatBoost + NN),6.774397236892523,5.2691467680322495,0.42390395946427,4.89412667515569,3.8096934317349858,0.6941823482593861,7.083013563209944,5.4036367897123965,0.388520185863536,8.346051472311936,6.594110082649364,0.1890093442698879
FS70,Random Forest,6.7813522325932025,5.17633639570715,0.424262653263519,4.932877027807191,3.8125527190700517,0.6893204158609438,7.220015210651833,5.420006696333292,0.3646365863646861,8.191164459320582,6.296449771718105,0.2188309575649271
FS90,Random Forest,6.824797091659032,5.192744245146972,0.4163826610427361,4.951619439355023,3.8036213205068066,0.6869550835871702,7.22906017548284,5.377908256679337,0.36304367020694184,8.29371166013923,6.396703158254774,0.19914922933409618
FS110,Random Forest,6.848273468626895,5.252537572256087,0.41119475930413,4.904313101878115,3.820880996725272,0.6929079917836385,7.306744816238867,5.4988383221252715,0.3492804446364699,8.333762487763705,6.437893397917718,0.19139584149228173
FS50,Random Forest,6.867988329338748,5.265702187662792,0.41102488455211345,5.058108544511006,3.912795014082803,0.673345664424212,7.37149715261623,5.61375802106744,0.33769599345034007,8.17435929088901,6.270553527838134,0.22203299578178826
FS110,Neural Network,6.883116052025723,5.330043560567414,0.40877268448956866,5.157314142596172,3.9660180245553924,0.6604065468826241,7.112675606469824,5.52140825825545,0.3833879864415727,8.379358407011173,6.502704398891398,0.18252352014450912
FS130,Random Forest,6.897605538603574,5.290681725332527,0.4034579637997587,4.9953383248394845,3.893305568486186,0.6814028018780365,7.272888763478005,5.466213601365639,0.3552967366866536,8.424589527493229,6.5125260061457535,0.17367435283458588
