iter	Passed	Remaining
0	24	4809
1	45	4436
2	69	4526
3	89	4377
4	111	4312
5	134	4336
6	153	4219
7	191	4574
8	226	4775
9	256	4840
10	288	4937
11	313	4886
12	332	4761
13	352	4654
14	372	4566
15	392	4494
16	413	4427
17	430	4331
18	449	4256
19	470	4208
20	488	4136
21	508	4092
22	531	4063
23	552	4030
24	575	4007
25	600	3998
26	620	3949
27	640	3909
28	665	3900
29	686	3868
30	710	3851
31	733	3827
32	753	3791
33	774	3757
34	799	3747
35	821	3719
36	850	3724
37	874	3703
38	897	3682
39	926	3682
40	946	3648
41	968	3619
42	992	3599
43	1013	3570
44	1038	3553
45	1059	3525
46	1084	3506
47	1113	3502
48	1138	3484
49	1158	3453
50	1182	3430
51	1203	3401
52	1224	3373
53	1247	3349
54	1272	3330
55	1302	3325
56	1326	3303
57	1347	3275
58	1375	3264
59	1399	3242
60	1420	3213
61	1445	3193
62	1469	3171
63	1493	3149
64	1518	3131
65	1546	3115
66	1571	3095
67	1594	3072
68	1620	3052
69	1641	3024
70	1663	2999
71	1685	2972
72	1705	2943
73	1728	2919
74	1746	2887
75	1765	2857
76	1787	2832
77	1806	2802
78	1828	2777
79	1854	2758
80	1873	2729
81	1892	2699
82	1912	2673
83	1931	2643
84	1949	2614
85	1968	2586
86	1990	2562
87	2008	2533
88	2028	2506
89	2046	2478
90	2066	2452
91	2086	2426
92	2103	2397
93	2123	2371
94	2140	2342
95	2161	2319
96	2179	2291
97	2198	2266
98	2215	2238
99	2235	2213
100	2256	2189
101	2273	2161
102	2295	2139
103	2316	2116
104	2333	2089
105	2352	2063
106	2371	2039
107	2394	2017
108	2414	1993
109	2434	1970
110	2455	1946
111	2473	1921
112	2491	1896
113	2507	1869
114	2526	1845
115	2543	1820
116	2560	1794
117	2580	1771
118	2596	1745
119	2615	1721
120	2632	1697
121	2652	1674
122	2668	1648
123	2691	1627
124	2710	1604
125	2727	1580
126	2748	1558
127	2766	1534
128	2786	1511
129	2803	1488
130	2826	1467
131	2847	1445
132	2865	1422
133	2885	1399
134	2904	1376
135	2931	1358
136	2953	1336
137	2976	1315
138	2995	1292
139	3016	1271
140	3037	1249
141	3055	1226
142	3073	1203
143	3094	1181
144	3116	1160
145	3138	1139
146	3159	1117
147	3181	1096
148	3203	1075
149	3227	1054
150	3254	1034
151	3278	1013
152	3302	992
153	3332	973
154	3358	953
155	3384	932
156	3405	911
157	3427	889
158	3450	868
159	3473	846
160	3493	824
161	3520	804
162	3548	783
163	3570	762
164	3589	739
165	3618	719
166	3641	697
167	3660	675
168	3683	653
169	3708	632
170	3731	611
171	3753	589
172	3776	567
173	3795	545
174	3813	522
175	3834	501
176	3852	478
177	3872	456
178	3892	434
179	3912	412
180	3931	391
181	3952	369
182	3972	347
183	3991	325
184	4011	303
185	4032	281
186	4052	260
187	4077	238
188	4099	216
189	4116	194
190	4134	173
191	4151	151
192	4173	129
193	4193	108
194	4211	86
195	4229	64
196	4246	43
197	4265	21
198	4285	0
